company_number,company_name,status,company_type,date_of_creation,address,postcode,locality,region,sic_codes,sic_descriptions,is_truck_commercial,is_mobile,categories
15090313,A1 TYRES AND AUTO REPAIR LTD,active,ltd,2023-08-22,"111 Fengate, Unit Number 2, Peterborough, PE1 5BA",PE1 5BA,Peterborough,,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,general_tyre
07553260,A1 TYRES AND EXHAUSTS LTD.,active,ltd,2011-03-07,"Red Hill House, Coventry Road, Coventry, West Midlands, CV7 8DA",CV7 8DA,Coventry,West Midlands,45200,45200: Maintenance and repair of motor vehicles,False,False,general_tyre
16968932,A ONE TYRES & SERVICES LIMITED,active,ltd,2026-01-16,"1a Clipstone Road West, Forest Town, Mansfield, NG19 0EF",NG19 0EF,Mansfield,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
NI054309,A ONE TYRES (DROMORE) LTD,active,ltd,2005-03-14,"139 Banbridge Road, Dromore, County Down, BT25 1NF",BT25 1NF,Dromore,County Down,22110,22110: SIC code 22110,False,False,general_tyre
16341205,A 1 TYRES EXPERT LIMITED,active,ltd,2025-03-25,"187 Parchmore Road, Unit 9, Thornton Heath, CR7 8HD",CR7 8HD,Thornton Heath,,45200,45200: Maintenance and repair of motor vehicles,False,False,general_tyre
16983143,A1 TYRES 4 U LIMITED,active,ltd,2026-01-23,"21 Nineveh Road, Handsworth, Birmingham, B21 0SU",B21 0SU,Birmingham,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,general_tyre
14431483,A1 TYRES LONGSIGHT LIMITED,active,ltd,2022-10-20,"91a Slade Lane, Manchester, Greater Manchester, M13 0GW",M13 0GW,Manchester,Greater Manchester,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,general_tyre
11756562,A1 TYRES (MANCHESTER) LTD,active,ltd,2019-01-08,"125 Rochdale Road, Manchester, M4 4HZ",M4 4HZ,Manchester,,45200,45200: Maintenance and repair of motor vehicles,False,False,general_tyre
16664126,A1 TYRES NE LTD,active,ltd,2025-08-21,"60 Brougham Street, Darlington, County Durham, DL3 0NB",DL3 0NB,Darlington,County Durham,45200; 45320; 45400,"45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories; 45400: Sale, maintenance and repair of motorcycles and related parts and accessories",False,False,general_tyre
15773619,A1 TYRES PVT LTD,active,ltd,2024-06-12,"8 Pickford Street, Huddersfield, West Yorkshire, HD3 4LG",HD3 4LG,Huddersfield,West Yorkshire,45200,45200: Maintenance and repair of motor vehicles,False,False,general_tyre
SC323184,A1 TYRES (SCOTLAND) LTD.,active,ltd,2007-05-08,"26 St. Bryde Street, East Kilbride, Glasgow, G74 4HQ",G74 4HQ,Glasgow,,45200,45200: Maintenance and repair of motor vehicles,False,False,general_tyre
07795796,A1 TYRES (U.K.) LIMITED,active,ltd,2011-10-03,"Charlton House, Dour Street, Dover, Kent, CT16 1BL",CT16 1BL,Dover,Kent,47990,"47990: Other retail sale not in stores, stalls or markets",False,False,general_tyre
16308687,AOT TYRES & SERVICING LTD,active,ltd,2025-03-11,"247 Rowland Way, Aylesbury, HP19 7SR",HP19 7SR,Aylesbury,,45200,45200: Maintenance and repair of motor vehicles,False,False,general_tyre
12395075,AO TYRES LTD,active,ltd,2020-01-09,"C/O Rus & Co, 1192 Stratford Road, Hall Green, Birmingham, B28 8AB",B28 8AB,Birmingham,,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,general_tyre
16627084,APACHE TYRES (SWANSEA) LTD,active,ltd,2025-08-04,"Unit 211 Second Floor 3-5 Ripple Road, Barking, Essex, IG11 7NF",IG11 7NF,Barking,Essex,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,general_tyre
11465185,AP CAR CARE & TYRES LIMITED,active,ltd,2018-07-16,"Windsor House, 9-15 Adelaide Street, Luton, LU1 5BJ",LU1 5BJ,Luton,,45200,45200: Maintenance and repair of motor vehicles,False,False,general_tyre
15671571,APEX TYRES LTD,active,ltd,2024-04-23,"15 Neville Street, Cardiff, CF11 6LP",CF11 6LP,Cardiff,,45111; 45112; 45310; 45320,45111: Wholesale and retail trade; repair of motor vehicles; 45112: Wholesale and retail trade; repair of motor vehicles; 45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories,False,False,general_tyre
16976086,APEX TYRES HUB LIMITED,active,ltd,2026-01-20,"44 Balmoral Drive, Woking, GU22 8EY",GU22 8EY,Woking,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,general_tyre
16703486,RMG HGV & TYRES LTD,active,ltd,2025-09-08,"23 Lowfield Drive, Askern, Doncaster, DN6 0FS",DN6 0FS,Doncaster,,45200,45200: Maintenance and repair of motor vehicles,True,False,truck_commercial
16750217,MOBILE TYRE & SERVICES LTD,active,ltd,2025-09-29,"Unit 480 Cantrell Road, London, E3 4BN",E3 4BN,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
15996995,MOBILE TYRE ASSIST LTD,active,ltd,2024-10-03,"42 Culver Lane, Reading, RG6 1DY",RG6 1DY,Reading,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15037362,MOBILE TYRE BAY LTD,active,ltd,2023-07-30,"163 West Wycombe Road, Lower Ground Floor, High Wycombe, HP12 3AB",HP12 3AB,High Wycombe,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
15179263,MOBILE TYRE BUDDY LTD,active,ltd,2023-10-01,"19 Radnor Street, Oldham, OL9 7RH",OL9 7RH,Oldham,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
16592144,MOBILE TYRE CENTRE LTD,active,ltd,2025-07-18,"20 Wenlock Road, London, N1 7GU",N1 7GU,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
13780015,MOBILE TYRE CLINIC LTD,active,ltd,2021-12-03,"Unit 3e, Autumn Yard, 39 Autumn Street, London, E3 2TT",E3 2TT,London,,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
13370188,MOBILE TYRE COMPANY (LAXFIELD) LIMITED,active,ltd,2021-04-30,"Potash Farm, Dennington Road, Laxfield, Nr Woodbridge, Suffolk, IP13 8HJ",IP13 8HJ,"Laxfield, Nr Woodbridge",Suffolk,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
15203000,MOBILE TYRE EXPERTS LTD,active,ltd,2023-10-11,"11 Maryland Road, Thornton Heath, Surrey, CR7 8DG",CR7 8DG,Thornton Heath,Surrey,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15498767,MOBILE TYRE EXPERTS 24*7 LTD,active,ltd,2024-02-17,"25 Walnut Tree Road, Hounslow, TW5 0LP",TW5 0LP,Hounslow,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15243488,MOBILE TYRE FITTER LTD,active,ltd,2023-10-28,"34 Galeys Road, Chelysmore, CV3 5GN",CV3 5GN,Chelysmore,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
16074427,MOBILE TYRE FITTING LTD,active,ltd,2024-11-12,"34 Galeys Road, Chelysmore, CV3 5GN",CV3 5GN,Chelysmore,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
16880970,MOBILE TYRE FITTING BICESTER 24/7 MOBILE TYRE DOCTOR LTD,active,ltd,2025-11-28,"20 Jesse Terrace, Reading, RG1 7RT",RG1 7RT,Reading,,45310; 45320; 45400,"45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories; 45400: Sale, maintenance and repair of motorcycles and related parts and accessories",False,True,mobile; fitting_service
16742870,MOBILE TYRE FITTING CHELMSFORD LTD,active,ltd,2025-09-25,"Ashtree Farm Boyton Cross, Roxwell, Chelmsford, CM1 4LP",CM1 4LP,Chelmsford,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
09352380,MOBILE TYRE FITTING LONDON LTD,active,ltd,2014-12-12,"84 Brunswick Park Road, London, N11 1JJ",N11 1JJ,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
16584789,MOBILE TYRE FITTING NEAR ME LTD,active,ltd,2025-07-15,"128 Uxbridge Road, London, W12 8AA",W12 8AA,London,,47910,"47910: Retail trade, except of motor vehicles",False,True,mobile; fitting_service
16880836,MOBILE TYRE FITTING OXFORD 24/7 MOBILE TYRE DOCTOR LTD,active,ltd,2025-11-28,"20 Jesse Terrace, Reading, RG1 7RT",RG1 7RT,Reading,,45200; 45310; 45320,45200: Maintenance and repair of motor vehicles; 45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories,False,True,mobile; fitting_service
16880750,MOBILE TYRE FITTING READING 24/7 MOBILE TYRE DOCTOR LTD,active,ltd,2025-11-28,"20 Jesse Terrace, Reading, RG1 7RT",RG1 7RT,Reading,,45310; 45320; 45400,"45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories; 45400: Sale, maintenance and repair of motorcycles and related parts and accessories",False,True,mobile; fitting_service
15521074,MOBILE TYRE FITTING STRATFORD LTD,active,ltd,2024-02-26,"49 Maryland Square, Stratford, London, E15 1HF",E15 1HF,Stratford,London,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
16389024,MOBILE TYRE FITTING TEES VALLEY LTD,active,ltd,2025-04-15,"6 Heslop Street, Thornaby, Stockton On Tees, TS17 7HA",TS17 7HA,Stockton On Tees,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
15443132,MOBILE TYRE FIXER LTD,active,ltd,2024-01-25,"34 Galeys Road, Chelysmore, CV3 5GN",CV3 5GN,Chelysmore,,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
14728776,MOBILE TYRE FORCE LTD,active,ltd,2023-03-14,"Portland House, Belmont Business Park, Durham, DH1 1TW",DH1 1TW,Durham,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
16907203,MOBILE TYRE FUSION LTD,active,ltd,2025-12-12,"142 Windsor Road, Ilford, IG1 1HE",IG1 1HE,Ilford,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
10612276,MOBILE TYRE GIANT LTD,active,ltd,2017-02-10,"Gutteridge Works, Western Avenue, Uxbridge, UB10 9AP",UB10 9AP,Uxbridge,,82990,82990: Other business support service activities n.e.c.,False,True,mobile
16143084,MOBILE TYRE GROUP LTD,active,ltd,2024-12-18,"19 Jennings Place, Bradford, West Yorkshire, BD7 3EZ",BD7 3EZ,Bradford,West Yorkshire,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
13417642,MOBILE TYRE HUB LTD,active,ltd,2021-05-24,"03 Eastcourt Avenue, Earley, Reading, RG6 1HH",RG6 1HH,Reading,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
16914529,MOBILE TYRE LAB LTD,active,ltd,2025-12-16,"35b Greenleaf Road, London, E17 6QN",E17 6QN,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
