name,category,is_truck,is_mobile,company_number,status,phone,email,website,address,postcode,region,verified,source
SYLLA TRUCK TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,13847848,active,,,,"Flat 69 Kelvedon House, Guildford Road, London, SW8 2DW",SW8 2DW,,Yes,Companies House API
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,01379569,active,,,,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, BS23 3UU",BS23 3UU,,Yes,Companies House API
TA9 TRUCK TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,16043526,active,,,,"Goodwood House, Blackbrook Park Avenue, Taunton, TA1 2PX",TA1 2PX,Somerset,Yes,Companies House API
TRUCK TYRE FLEET SERVICES LTD,Truck Tyre (Fixed/Unknown),Yes,No,16262244,active,,,,"1 Thorncliffe View, Leek, ST13 6QB",ST13 6QB,,Yes,Companies House API
TRUCK TYRE LEASING LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,03158142,active,,,,"280 Main Road, Walters Ash, High Wycombe, HP14 4TJ",HP14 4TJ,Buckinghamshire,Yes,Companies House API
TRUCK TYRE SOLUTIONS LTD,Truck Tyre (Fixed/Unknown),Yes,No,05733614,active,,,,"Station Road, Rowley Regis, B65 0LJ",B65 0LJ,W Midlands,Yes,Companies House API
TRUCK TYRE SUPPLIES UK LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,11032022,active,,,,"St Thomas House, 83 Wolverhampton Road, Cannock, WS11 1AR",WS11 1AR,Staffordshire,Yes,Companies House API
TRUCK TYRE WHOLESALERS LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,13417279,active,,,,"12 Old Slade Lane, Iver, SL0 9DR",SL0 9DR,,Yes,Companies House API
TRUCK TYRES (LONDON) LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,05853394,active,,,,"167 Turners Hill, Cheshunt, EN8 9BH",EN8 9BH,Hertfordshire,Yes,Companies House API
TRUCK TYRES 2 U LTD,Truck Tyre (Fixed/Unknown),Yes,No,12781618,active,,,,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, CW11 4NE",CW11 4NE,Cheshire,Yes,Companies House API
